epoch,loss,perplexity
1,4.542278,93.9044
2,4.241157,69.4882
3,4.096268,60.1156
4,4.009324,55.1096
5,3.930957,50.9557
6,3.901125,49.4581
7,3.829413,46.0355
8,3.766153,43.2135
9,3.732302,41.7752
10,3.703301,40.5811
11,3.609169,36.9354
12,3.536430,34.3441
13,3.506597,33.3346
14,3.468818,32.0988
15,3.381585,29.4174
16,3.374505,29.2098
17,3.222980,25.1028
18,3.134000,22.9657
19,3.036789,20.8382
20,2.979616,19.6803
21,2.930734,18.7414
22,2.875763,17.7389
23,2.775134,16.0408
24,2.677010,14.5415
25,2.562092,12.9629
26,2.473073,11.8588
27,2.383004,10.8374
28,2.271528,9.6942
29,2.277493,9.7522
30,2.144120,8.5345
31,2.127797,8.3964
32,1.942389,6.9754
33,1.893400,6.6419
34,1.754082,5.7781
35,1.695896,5.4515
36,1.645393,5.1830
37,1.551609,4.7191
38,1.507701,4.5163
39,1.389493,4.0128
40,1.331522,3.7868
41,1.230223,3.4220
42,1.181049,3.2578
43,1.146585,3.1474
44,1.068149,2.9100
45,1.011937,2.7509
46,0.976582,2.6554
47,0.860301,2.3639
48,0.845037,2.3281
49,0.771738,2.1635
50,0.697978,2.0097
51,0.679976,1.9738
52,0.636446,1.8898
53,0.593158,1.8097
54,0.578470,1.7833
55,0.521087,1.6839
56,0.519316,1.6809
57,0.492001,1.6356
58,0.444248,1.5593
59,0.434805,1.5447
60,0.418002,1.5189
61,0.392753,1.4811
62,0.375875,1.4563
63,0.374931,1.4549
64,0.349826,1.4188
65,0.351874,1.4217
66,0.325392,1.3846
67,0.318254,1.3747
68,0.292812,1.3402
69,0.305568,1.3574
70,0.289166,1.3353
71,0.292652,1.3400
72,0.281099,1.3246
73,0.269446,1.3092
74,0.261094,1.2983
75,0.268571,1.3081
76,0.262544,1.3002
77,0.246558,1.2796
78,0.260437,1.2975
79,0.238693,1.2696
80,0.241673,1.2734
81,0.247608,1.2810
82,0.237381,1.2679
83,0.231530,1.2605
84,0.232426,1.2617
85,0.219778,1.2458
86,0.215325,1.2403
87,0.235268,1.2652
88,0.209790,1.2334
89,0.217169,1.2426
90,0.205509,1.2281
91,0.226317,1.2540
92,0.220642,1.2469
93,0.225157,1.2525
94,0.199925,1.2213
95,0.209225,1.2327
96,0.210174,1.2339
97,0.203549,1.2257
98,0.208401,1.2317
99,0.207679,1.2308
100,0.195087,1.2154
101,0.195441,1.2158
102,0.199561,1.2209
103,0.207646,1.2308
104,0.209021,1.2325
105,0.211883,1.2360
106,0.197756,1.2187
107,0.195810,1.2163
108,0.210547,1.2344
109,0.203710,1.2259
110,0.194344,1.2145
